_key,_id,id,website,code,objectid,city,state,phone,name,geometry,longitude,latitude,descript,last_mod,filepath,address2,add_user,globalid,country,address1
262971,Brewery/262971,545,http://www.fortcollinsbrewery.com,80524,262971,Fort Collins,Colorado,1-970-472-1499,Fort Collins Brewery,"{""type"":""Point"",""coordinates"":[-121.89299999999997,37.35260000000005]}",-121.89299999999997,37.35260000000005,,2010-07-22T18:00:00.000Z,,,0,{835578B6-C496-4DFD-9B0A-09F639BEFAD8},United States,1900-B East Lincoln Avenue
261121,Brewery/261121,742,,,261121,Ibaraki,Kanto,81-029-298-0105,Kiuchi Shuzou Goushi Kaisya,"{""type"":""Point"",""coordinates"":[-97.70549999999997,30.25410000000005]}",-97.70549999999997,30.25410000000005,,2010-07-22T18:00:00.000Z,,,0,{237F3BA9-53AF-4111-A01A-9F88A86DBE65},Japan,"1257, Kounsosu"
263444,Brewery/263444,624,,94019,263444,Princeton by the Sea,California,1-650-728-2739,Half Moon Bay Brewing,"{""type"":""Point"",""coordinates"":[-111.86599999999999,40.621500000000026]}",-111.86599999999999,40.621500000000026,,2010-07-22T18:00:00.000Z,,,0,{CF498F63-457A-487D-A5CA-8E3261C5387B},United States,390 Capistrano Road
260935,Brewery/260935,1019,,,260935,Erding,Bayern,49-(0)8122-/-4090,Privatbrauerei Erdinger Weissbru,"{""type"":""Point"",""coordinates"":[2.169900000000041,41.38790000000006]}",2.169900000000041,41.38790000000006,,2010-07-22T18:00:00.000Z,,,0,{53A7BAED-EBE5-4A2F-9D98-538F2F31ED1C},Germany,Franz-Brombach-Strae 1-20
263609,Brewery/263609,1315,,68130,263609,Omaha,Nebraska,1-402-778-0100,Upstream Brewing Company at Legacy,,,,,2010-07-22T18:00:00.000Z,,,0,{BA4C2ED5-557D-431B-9C67-3766C8CA90FD},United States,17070 Wright Plaza
264994,Brewery/264994,1176,,,264994,MÃ¼nchen,Bayern,49-(0)89-/-5122-0,Spaten-Franziskaner-BrÃ¤u,"{""type"":""Point"",""coordinates"":[-71.40969999999999,41.819000000000074]}",-71.40969999999999,41.819000000000074,,2010-07-22T18:00:00.000Z,,,0,{8B14288B-D238-45AD-B396-ABCB8ACA1AF8},Germany,Marsstrae 46-48
261625,Brewery/261625,168,,,261625,Ecaussinnes,Hainaut,32-067-/-34-22-77,Brasserie d'Ecaussinnes,"{""type"":""Point"",""coordinates"":[5.915300000000059,45.70750000000004]}",5.915300000000059,45.70750000000004,,2010-07-22T18:00:00.000Z,,,0,{7D82E8CF-E534-444C-8134-74AE2C3FC5A5},Belgium,"rue Restaumont, 118"
261184,Brewery/261184,670,,,261184,Hook Norton,Oxford,44-(01608)-730384,Hook Norton Brewery,"{""type"":""Point"",""coordinates"":[-71.39659999999998,42.30370000000005]}",-71.39659999999998,42.30370000000005,,2010-07-22T18:00:00.000Z,,,0,{78A59053-AC22-4BDD-A5B5-931EF948688F},United Kingdom,Brewery Lane
263330,Brewery/263330,1023,http://www.schneider-weisse.de,93309,263330,Kelheim,,0 94 41 / 7 05 - 0,Private Weissbierbrauerei G. Schneider & Sohn GmbH,"{""type"":""Point"",""coordinates"":[-95.46749999999997,29.81230000000005]}",-95.46749999999997,29.81230000000005,,2010-07-22T18:00:00.000Z,,,0,{7F049D2D-A6C2-4C3B-B2E4-08EE529E91F7},Germany,Emil-Ott-Strasse 1-5
261619,Brewery/261619,39,,94107,261619,San Francisco,California,1-415-863-8350,Anchor Brewing,"{""type"":""Point"",""coordinates"":[-123.356,39.00140000000005]}",-123.356,39.00140000000005,,2010-07-22T18:00:00.000Z,,,0,{9076CEFD-EDD3-4D32-8DD0-13A63DBCDC33},United States,1705 Mariposa Street
262203,Brewery/262203,1142,http://www.sierranevada.com/,95928,262203,Chico,California,1-530-893-3520,Sierra Nevada Brewing Co.,"{""type"":""Point"",""coordinates"":[-82.46509999999995,27.949400000000026]}",-82.46509999999995,27.949400000000026,,2010-07-22T18:00:00.000Z,,,0,{4442BC35-4160-40C2-987B-5CA6D3ED7B3C},United States,1075 East 20th Street
261361,Brewery/261361,196,,,261361,Hordain,,33-03.27.35.72.44,Brasserie La Choulette,"{""type"":""Point"",""coordinates"":[13.829200000000071,48.235100000000045]}",13.829200000000071,48.235100000000045,,2010-07-22T18:00:00.000Z,,,0,{C5D55BCE-6AB1-4A3C-AB32-362EA720A3D9},France,16 rue des Ecoles
261831,Brewery/261831,277,,,261831,Wevelgem,West-Vlaanderen,32-056-41-82-41,Brouwerij De Ranke,"{""type"":""Point"",""coordinates"":[3.0100000000000477,51.09230000000008]}",3.0100000000000477,51.09230000000008,,2010-07-22T18:00:00.000Z,,,0,{97614D62-C668-48F3-9EF4-DFFA119BEDC9},Belgium,Brugsstraat 43
263055,Brewery/263055,923,http://nogne-o.com/,,263055,Grimstad,Lunde,47-37-25-74-00,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,"{""type"":""Point"",""coordinates"":[-111.85299999999995,33.726800000000026]}",-111.85299999999995,33.726800000000026,"NÃ¸gne Ã˜ was created by two home brewers. Unable to stay at home we started Norway's first microbrewery for creative brewing. Some times, when we get a momentary glimpse of sanity, we ask ourselves what we have achieved. We think we can say that we have achieved some level of fame, at least locally and among dedicated beer geeks around the world. But more important - before we started NÃ¸gne Ã˜ most Norwegians did not know much about beer styles like IPA, Porter or Amber. This has for sure started to change, and we do feel that we have contributed to what you can call a renaissance of Norwegian beer-culture.  Diversity was one of our main goals - and it does seem like diversity in the world of beers is starting to come back.",2010-07-22T18:00:00.000Z,,,0,{B9A40456-411A-4A9F-A4A4-2DC106F75DD6},Norway,Gamle Rygene Kraftstasjon
262074,Brewery/262074,1220,http://www.summitbrewing.com/,55102,262074,Saint Paul,Minnesota,1-651-265-7800,Summit Brewing,"{""type"":""Point"",""coordinates"":[-105.25099999999998,40.02010000000007]}",-105.25099999999998,40.02010000000007,,2010-07-22T18:00:00.000Z,,,0,{98D2A73C-DA87-40CB-8C96-7728DAFF3C0D},United States,910 Montreal Circle
261691,Brewery/261691,161,http://www.blvdbeer.com/,64108,261691,Kansas City,Missouri,1-816-474-7095,Boulevard Brewing Company,"{""type"":""Point"",""coordinates"":[3.7263000000000375,50.37050000000005]}",3.7263000000000375,50.37050000000005,,2010-07-22T18:00:00.000Z,,,0,{67AE77BF-6445-43FD-B8D8-6B2F17DD9783},United States,2501 Southwest Boulevard
260968,Brewery/260968,304,,,260968,Ertvelde,Oost-Vlaanderen,32-09-344-50-71,Brouwerij Van Steenberge,"{""type"":""Point"",""coordinates"":[-84.01199999999994,35.93200000000007]}",-84.01199999999994,35.93200000000007,,2010-07-22T18:00:00.000Z,,,0,{C1B3D82E-F02D-4311-A4FD-BD87FEB6A0C4},Belgium,Lindenlaan 25
261658,Brewery/261658,878,,0,261658,Toronto,Ontario,1-416-975-1786,Molson Breweries of Canada,"{""type"":""Point"",""coordinates"":[-75.48839999999996,39.15400000000005]}",-75.48839999999996,39.15400000000005,,2010-07-22T18:00:00.000Z,,,0,{BF8D3DC1-D53D-4949-8BB9-691347DC58CF},Canada,175 Bloor Street East
261727,Brewery/261727,935,,80524,261727,Fort Collins,Colorado,1-888-887-2797,Odell Brewing,"{""type"":""Point"",""coordinates"":[-117.27199999999999,32.990800000000036]}",-117.27199999999999,32.990800000000036,,2010-07-22T18:00:00.000Z,,,0,{4648A0E3-E765-41A9-954C-02C6EC5ACB0F},United States,800 East Lincoln Avenue
264658,Brewery/264658,1075,,97214,264658,Portland,Oregon,1-503-235-7668,Roots Organic Brewing,"{""type"":""Point"",""coordinates"":[-122.49699999999996,38.52430000000004]}",-122.49699999999996,38.52430000000004,,2010-07-22T18:00:00.000Z,,,0,{80D0BE96-1D44-4795-8251-91B98C9FF939},United States,1520 SE Seventh Avenue
262806,Brewery/262806,1271,http://www.tommyknocker.com/,80452,262806,Idaho Springs,Colorado,1-303-567-2688,Tommyknocker Brewery and Pub,"{""type"":""Point"",""coordinates"":[-0.4679999999999609,52.13570000000004]}",-0.4679999999999609,52.13570000000004,,2010-07-22T18:00:00.000Z,,,0,{488C9546-8C6D-4E2E-9A36-843CBA5DFBE9},United States,1401 Miner Street
262158,Brewery/262158,176,,,262158,Sint-Pieters-Leeuw,Vlaams Brabant,32-0497-/-93.23.75,Brasserie de la Senne,"{""type"":""Point"",""coordinates"":[3.628500000000031,50.30890000000005]}",3.628500000000031,50.30890000000005,,2010-07-22T18:00:00.000Z,,,0,{2BED47B7-9179-47E1-A6DB-8492030D5F9C},Belgium,Victor Nonnemansstraat 40a
262026,Brewery/262026,190,,,262026,Jenlain,,33-03.27.49.70.03,Brasserie Duyck,"{""type"":""Point"",""coordinates"":[9.588800000000049,47.67150000000004]}",9.588800000000049,47.67150000000004,,2010-07-22T18:00:00.000Z,,,0,{437CA868-A15D-481A-A03D-4CD9E11907EB},France,"113, rte Nationale"
264034,Brewery/264034,432,,,264034,Lochristi-Hijfte,Oost-Vlaanderen,32-09-/-356.71.02,De Proef Brouwerij,"{""type"":""Point"",""coordinates"":[-106.65099999999995,35.08450000000005]}",-106.65099999999995,35.08450000000005,,2010-07-22T18:00:00.000Z,,,0,{74945FDB-BA29-43BC-8141-CF7275D0BDC9},Belgium,Doornzelestraat 20
264100,Brewery/264100,425,,,264100,Harrogate,North Yorkshire,44-(01423)-880022,Daleside Brewery,"{""type"":""Point"",""coordinates"":[-75.31069999999994,38.76830000000007]}",-75.31069999999994,38.76830000000007,,2010-07-22T18:00:00.000Z,,,0,{A6429C4D-E220-40F5-AE1F-A3BF720BC361},United Kingdom,Camwal Road
263495,Brewery/263495,294,,,263495,Ninove,Oost-Vlaanderen,32-054-33-18-31,Brouwerij Slaghmuylder,"{""type"":""Point"",""coordinates"":[-77.00569999999993,41.24040000000008]}",-77.00569999999993,41.24040000000008,,2010-07-22T18:00:00.000Z,,,0,{90F8FDB2-A7F2-434C-A82D-FDFB42AE4E37},Belgium,Denterhoutembaan 2
262290,Brewery/262290,170,,,262290,Blaugies,Hainaut,32-065-65-03-60,Brasserie de Blaugies,"{""type"":""Point"",""coordinates"":[3.759200000000021,50.620400000000075]}",3.759200000000021,50.620400000000075,,2010-07-22T18:00:00.000Z,,,0,{04976A18-1657-4537-8394-172107C384EC},Belgium,"Rue de la Frontire, 435"
261718,Brewery/261718,743,,,261718,Erpe-Mere,Oost-Vlaanderen,32-(0)53-83-68-17,Kleinbrouwerij de Glazen Toren,"{""type"":""Point"",""coordinates"":[-89.24429999999995,45.91720000000004]}",-89.24429999999995,45.91720000000004,,2010-07-22T18:00:00.000Z,,,0,{F5A65D2C-DB25-45EE-B03B-C9DFB8BC40CD},Belgium,Glazentorenweg 11
262515,Brewery/262515,723,http://www.jollypumpkin.com,48130,262515,Dexter,Michigan,1-734-426-4962,Jolly Pumpkin Artisan Ales,"{""type"":""Point"",""coordinates"":[-117.58899999999994,33.457700000000045]}",-117.58899999999994,33.457700000000045,"Welcome to a land of open fermentation, oak barrel aging, and bottle conditioning. At Jolly Pumpkin Artisan Ales we are dedicated to more than the traditions of old world craftsmanship. Everything we do is designed to create ales of outstanding art and flavor. Focusing on traditional rustic country style beers brought to life through labor and love, we strive to create beers to lighten the spirit, and soothe the soul. Sharing our joy to the betterment of mankind is the most that we could hope for.",2010-07-22T18:00:00.000Z,,,0,{F0FD274B-80A0-47C5-BB64-8A9A58EA3C7F},United States,3115 Broad Street
262656,Brewery/262656,901,,68046,262656,Papillion,Nebraska,1-402-934-7100,Nebraska Brewing Company,"{""type"":""Point"",""coordinates"":[-117.23999999999995,32.79780000000005]}",-117.23999999999995,32.79780000000005,,2010-07-22T18:00:00.000Z,,,0,{F73CC8BE-3F2F-4DF2-9F8A-2FA65C95165C},United States,7474 Towne Center Parkway #101
261028,Brewery/261028,167,,,261028,Houffalize-Achouffe,Luxembourg,32-061-28-81-47,Brasserie D'Achouffe,"{""type"":""Point"",""coordinates"":[-149.40699999999998,-17.67969999999997]}",-149.40699999999998,-17.67969999999997,,2010-07-22T18:00:00.000Z,,,0,{3F84C66C-BEFB-4343-8415-F7118382AFF2},Belgium,Rue du Village 32
264070,Brewery/264070,1202,http://www.stieglbrauerei.at/,,264070,Salzburg,,43-0-662-/-83-87-0,Stieglbrauerei zu Salzburg GmbH,"{""type"":""Point"",""coordinates"":[-83.06649999999996,42.351000000000056]}",-83.06649999999996,42.351000000000056,,2010-07-22T18:00:00.000Z,,,0,{BD4AF4D2-F4DA-40A0-97E7-48736B5828DC},Austria,KendlerstraÃŸe 1
262872,Brewery/262872,1272,,,262872,Swansea,Wales,44-(01792)-775333,Tomos Watkin and Sons Ltd.,"{""type"":""Point"",""coordinates"":[-76.46379999999994,39.37220000000008]}",-76.46379999999994,39.37220000000008,,2010-07-22T18:00:00.000Z,,,0,{2B2208E6-353E-4C5F-AAF4-5D08720D833B},United Kingdom,"Unit 3, Century Park, Valley Way"
263792,Brewery/263792,974,http://www.pelicanbrewery.com/,97135,263792,Pacific City,Oregon,1-503-965-7007,Pelican Pub & Brewery,"{""type"":""Point"",""coordinates"":[-88.71399999999994,42.83200000000005]}",-88.71399999999994,42.83200000000005,,2010-07-22T18:00:00.000Z,,,0,{EE506733-06E2-43F9-92B7-3A60ACD79DA2},United States,33180 Cape Kiwanda Drive
263954,Brewery/263954,179,,,263954,Silly,Hainaut,32-068-55-16-95,Brasserie de Silly,"{""type"":""Point"",""coordinates"":[3.077500000000043,50.60540000000003]}",3.077500000000043,50.60540000000003,,2010-07-22T18:00:00.000Z,,,0,{56F297B1-0A30-4575-ADD4-5B2C0F043154},Belgium,Rue Ville Basse 141
261169,Brewery/261169,348,,,261169,Salinas,California,,Carmel Brewing,"{""type"":""Point"",""coordinates"":[-82.50929999999994,27.95870000000008]}",-82.50929999999994,27.95870000000008,,2010-07-22T18:00:00.000Z,,,0,{FF4CD3C6-5393-407F-9583-70EF0D90E5C2},United States,
264979,Brewery/264979,856,,,264979,Itegem,Antwerpen,,Microbrouwerij Achilles,"{""type"":""Point"",""coordinates"":[-75.16659999999996,39.95020000000005]}",-75.16659999999996,39.95020000000005,,2010-07-22T18:00:00.000Z,,,0,{F53DCFD9-D936-4051-850D-16E5ECC4B822},Belgium,Dulft 9A
261094,Brewery/261094,160,http://boulderbeer.com/,80301,261094,Boulder,Colorado,1-303-444-8448,Boulder Beer Company,"{""type"":""Point"",""coordinates"":[4.311100000000067,49.984200000000044]}",4.311100000000067,49.984200000000044,,2010-07-22T18:00:00.000Z,,,0,{90D22566-D25B-46BE-8239-F65EE9DEB258},United States,2880 Wilderness Place
262671,Brewery/262671,1221,http://www.surlybrewing.com/,55429,262671,Brooklyn Center,Minnesota,1-763-535-3330,Surly Brewing,"{""type"":""Point"",""coordinates"":[-88.20679999999999,41.82060000000007]}",-88.20679999999999,41.82060000000007,,2010-07-22T18:00:00.000Z,,,0,{653EB05A-E99A-49EB-A30B-A3ACD4DF5307},United States,4811 Dusharme Drive
262341,Brewery/262341,1264,,68801,262341,Grand Island,Nebraska,1-308-398-2500,Thunderhead Brewery #2,"{""type"":""Point"",""coordinates"":[-87.79369999999994,41.85060000000004]}",-87.79369999999994,41.85060000000004,,2010-07-22T18:00:00.000Z,,,0,{7AB42B7B-AB70-4ED5-83AC-DDFDFBE43B7E},United States,120 East Third Street
260797,Brewery/260797,905,http://www.newbelgium.com/,80524,260797,Fort Collins,Colorado,1-888-622-4044,New Belgium Brewing,"{""type"":""Point"",""coordinates"":[-79.94549999999998,32.80170000000004]}",-79.94549999999998,32.80170000000004,"We'll set the scene: 1989. Belgium. Boy on bike. (OK, make that a young man of 32). As our aspiring young homebrewer rides his mountain bike with fat tires through European villages famous for beer, New Belgium Brewing Company was but a glimmer in his eye. Or basement. For Jeff Lebesch would return to Fort Collins with a handful of ingredients and an imagination full of recipes. And then there was beer. Jeff's first two basement-brewed creations? A brown dubbel with earthy undertones named Abbey and a remarkably well-balanced amber he named Fat Tire. To say the rest was history would be to overlook his wife's involvement. Kim Jordan was New Belgium's first bottler, sales rep, distributor, marketer and financial planner. And now, she's our CEO.",2010-07-22T18:00:00.000Z,,,0,{E6F5E026-C09B-4F2C-A2BD-FB236220458C},United States,500 Linden Street
264358,Brewery/264358,266,,,264358,Bavikhove,West-Vlaanderen,32-56-71-13-79,Brouwerij Bavik - De Brabandere,"{""type"":""Point"",""coordinates"":[5.166000000000054,50.77630000000005]}",5.166000000000054,50.77630000000005,,2010-07-22T18:00:00.000Z,,,0,{B3523293-AB2D-402E-BDAF-9F6D00BD35D3},Belgium,Rijksweg 33
264949,Brewery/264949,210,,,264949,Grieskirchen,,43-0-72-48/607-0,Brauerei Grieskirchen AG,"{""type"":""Point"",""coordinates"":[9.39960000000002,48.07780000000008]}",9.39960000000002,48.07780000000008,,2010-07-22T18:00:00.000Z,,,0,{0316BA72-B715-4A2A-9728-793070FD52C1},Austria,Stadtplatz 14
264922,Brewery/264922,1047,,59068,264922,Red Lodge,Montana,1-406-446-4607,Red Lodge Ales,"{""type"":""Point"",""coordinates"":[9.751400000000046,47.40970000000004]}",9.751400000000046,47.40970000000004,,2010-07-22T18:00:00.000Z,,,0,{BEB8131F-AD57-4B66-BFB3-FF17D3C27EE3},United States,417 North Broadway
264733,Brewery/264733,1260,http://www.threefloydspub.com/,46321,264733,Munster,Indiana,1-219-922-3565,Three Floyds Brewing,"{""type"":""Point"",""coordinates"":[-0.12619999999992615,51.50020000000006]}",-0.12619999999992615,51.50020000000006,,2010-07-22T18:00:00.000Z,,,0,{2AA2441D-672B-4730-8C74-E773BEF7AAFA},United States,9750 Indiana Parkway
260926,Brewery/260926,827,,94939,260926,Larkspur Landing,California,1-415-461-4677,Marin Brewing,"{""type"":""Point"",""coordinates"":[-2.269399999999962,53.78640000000007]}",-2.269399999999962,53.78640000000007,,2010-07-22T18:00:00.000Z,,,0,{7E1AA423-38C3-4FF0-B8EF-098FD47D0C6A},United States,1809 Larkspur Landing Circle
264646,Brewery/264646,819,,,264646,Bamberg,Bayern,49-(0)951-/-91827-0,Maisel Bru,"{""type"":""Point"",""coordinates"":[-111.58999999999997,35.21560000000005]}",-111.58999999999997,35.21560000000005,,2010-07-22T18:00:00.000Z,,,0,{FA773BDD-1C6A-4473-9EE2-05DF03AF04D2},Germany,Moosstrae 46
262257,Brewery/262257,879,,59101,262257,Billings,Montana,1-406-252-9200,Montana Brewing,"{""type"":""Point"",""coordinates"":[-85.84969999999998,42.16820000000007]}",-85.84969999999998,42.16820000000007,Montana Brewing Company...small brewery...BIG BEER!,2010-07-22T18:00:00.000Z,,,0,{FE7830E0-8C46-45B7-9826-3969D21D776E},United States,113 North Broadway
261526,Brewery/261526,892,http://www.moylans.com/,94945,261526,Novato,California,1-415-898-4677,Moylan's Brewery & Restaurant,"{""type"":""Point"",""coordinates"":[-73.21309999999994,44.42840000000007]}",-73.21309999999994,44.42840000000007,,2010-07-22T18:00:00.000Z,,,0,{7C338E6C-EA71-45DC-AACB-AE9375868BE7},United States,15 Rowland Way
262404,Brewery/262404,1185,,,262404,Bungay,Suffolk,44-(01986)-782322,St Peter's Brewery,"{""type"":""Point"",""coordinates"":[-73.21149999999994,44.477100000000064]}",-73.21149999999994,44.477100000000064,,2010-07-22T18:00:00.000Z,,,0,{B3F68ED6-1D7B-4C5D-9C21-CAAAD817B429},United Kingdom,St Peter's Hall
260995,Brewery/260995,884,,,260995,Burnley,Lancashire,44-(01282)-422864,Moorhouse's Brewery (Burnley),"{""type"":""Point"",""coordinates"":[-88.18349999999998,42.18650000000008]}",-88.18349999999998,42.18650000000008,,2010-07-22T18:00:00.000Z,,,0,{EFA04F4A-9655-4974-BA87-47E46EF62F0D},United Kingdom,4 Moorhouse Street
263630,Brewery/263630,345,,,263630,Falkenberg,,46-08-757-70-00,Carlsberg Sverige AB,"{""type"":""Point"",""coordinates"":[-105.08399999999995,39.80230000000006]}",-105.08399999999995,39.80230000000006,,2010-07-22T18:00:00.000Z,,,0,{A1CF3403-9C78-4FBC-89F7-8B0F72E336A6},Sweden,rstadvgen
261250,Brewery/261250,671,,,261250,Salisbury,Wiltshire,44-(01725)-510986,Hop Back Brewery,"{""type"":""Point"",""coordinates"":[-71.11929999999995,42.37240000000003]}",-71.11929999999995,42.37240000000003,,2010-07-22T18:00:00.000Z,,,0,{A2FB6B12-C4EC-41B9-AB49-F3A098DF5A0D},United Kingdom,Unit 21-24 Batten Road Industrial Estate
264907,Brewery/264907,727,,,264907,Manchester,Manchester,44-(0161)-6432487,JW Lees and Co (Brewers) Ltd.,"{""type"":""Point"",""coordinates"":[-112.07399999999996,33.44840000000005]}",-112.07399999999996,33.44840000000005,,2010-07-22T18:00:00.000Z,,,0,{F1D57B41-8FE2-401F-8DE7-0BFD1F0CFC3A},United Kingdom,Middleton Junction
261049,Brewery/261049,620,,,261049,Haarlem,,31-23-533-41-14,Haarlems Biergenootschap Jopen,"{""type"":""Point"",""coordinates"":[12.639900000000068,49.16720000000004]}",12.639900000000068,49.16720000000004,,2010-07-22T18:00:00.000Z,,,0,{484D7214-2141-4C88-9916-80773CAA9A29},Netherlands,R Pereboomweg 13 achter
261763,Brewery/261763,292,,,261763,Oudenaarde,Oost-Vlaanderen,32-055-45-54-01,Brouwerij Roman,"{""type"":""Point"",""coordinates"":[-104.93599999999998,39.70500000000004]}",-104.93599999999998,39.70500000000004,,2010-07-22T18:00:00.000Z,,,0,{B8422F80-61CE-4C7B-9BD3-7BCC2F305886},Belgium,Hauwaart 105
262662,Brewery/262662,1029,,94710,262662,Berkeley,California,1-510-528-9880,"Pyramid Alehouse, Brewery and Restaurant - Berkeley","{""type"":""Point"",""coordinates"":[-111.89499999999998,40.76260000000008]}",-111.89499999999998,40.76260000000008,,2010-07-22T18:00:00.000Z,,,0,{6722C411-0C11-4DEE-8044-DDF262ECF4D3},United States,901 Gilman Street
261010,Brewery/261010,1204,http://www.stonebrew.com/,92029,261010,Escondido,California,1-760-471-4999,Stone Brewing Co.,"{""type"":""Point"",""coordinates"":[-74.43489999999997,40.68920000000003]}",-74.43489999999997,40.68920000000003,,2010-07-22T18:00:00.000Z,,,0,{BF231467-3AA3-4411-9700-8DFDEF229C58},United States,1999 Citracado Parkway
263570,Brewery/263570,481,http://eelriverbrewing.com/,95540,263570,Fortuna,California,1-707-725-2739,Eel River Brewing,"{""type"":""Point"",""coordinates"":[-120.16299999999995,39.32200000000006]}",-120.16299999999995,39.32200000000006,,2010-07-22T18:00:00.000Z,,,0,{8C5E628B-72D4-48C4-960E-6A309E68BD49},United States,1777 Alamar Way
